Deal_id,Deal_created_at,Deal_Value,Deal_Stage,Deal _Status,Deal_Email_messages_count,Deal_Total_activities,Deal_Currency,Deal_Region
Adlud_deal_d194,16/05/2019 10:40,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d195,05/06/2020 12:34,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d196,17/06/2020 12:00,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d197,11/08/2020 11:04,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d198,19/08/2020 10:00,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d199,23/09/2020 08:38,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d200,08/10/2020 12:00,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d201,12/11/2020 10:08,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d202,08/04/2020 10:29,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d203,21/06/2019 11:22,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d204,16/09/2019 09:45,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d205,19/11/2019 09:06,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d206,06/02/2020 06:11,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d207,10/03/2020 13:29,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d208,05/05/2020 13:05,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d209,18/05/2020 05:56,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d210,03/07/2020 12:55,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d211,09/07/2020 10:13,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d212,18/09/2020 15:55,120000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d213,05/10/2020 13:21,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d214,15/10/2020 12:53,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d215,01/09/2020 06:28,120000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d216,15/04/2020 09:55,120000,Contacted,Won,0,1,HKD,APAC & RESELLERS
Adlud_deal_d217,06/05/2020 06:29,120000,Contacted,Won,0,1,HKD,APAC & RESELLERS
Adlud_deal_d218,12/04/2019 22:55,120000,RFP,Won,0,0,USD,US
Adlud_deal_d219,29/07/2019 12:38,120000,RFP,Lost,2,0,GBP,UK & EUROPE
Adlud_deal_d220,04/06/2019 08:21,118823.53,RFP,Won,0,5,MYR,APAC & RESELLERS
Adlud_deal_d221,09/01/2019 05:36,117647.06,Contacted,Won,0,4,HKD,APAC & RESELLERS
Adlud_deal_d222,09/01/2019 05:38,117647.06,Contacted,Won,0,2,HKD,APAC & RESELLERS
Adlud_deal_d223,18/09/2019 14:52,117647.06,Contacted,Won,0,5,HKD,APAC & RESELLERS
Adlud_deal_d224,06/07/2020 19:05,117647.05,RFP,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d225,18/07/2019 06:21,117647,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d226,27/07/2020 09:28,117647,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d227,10/02/2020 06:45,117647,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d228,14/05/2019 12:59,117647,Contacted,Lost,0,3,HKD,APAC & RESELLERS
Adlud_deal_d229,19/07/2019 11:24,117647,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d230,23/10/2019 11:41,117647,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d231,28/06/2019 11:50,117647,Contacted,Won,0,9,HKD,APAC & RESELLERS
Adlud_deal_d172,20/08/2019 13:43,117647,Contacted,Won,0,3,HKD,APAC & RESELLERS
Adlud_deal_d232,24/02/2020 13:26,117647,Contacted,Won,0,0,HKD,APAC & RESELLERS
